ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
16.929944,-46.916526,0.0237,0.000333,7105.081,99.830889,0.008677,0.015097,-0.586,0
16.993583,-46.979405,0.023529,0.000297,7053.817,89.03836,0.084502,0.14702,-50.663,0
17.029937,-46.981879,0.023708,0.000213,7107.48,63.855794,0.101801,0.177117,1.757,0
16.993698,-46.797508,0.02449,0.00015,7341.917,44.968869,0.119447,0.207819,230.767,0
16.797003,-47.066148,0.022672,0.000213,6796.895,63.855794,0.181479,0.315745,-301.637,0
17.077698,-47.072109,0.024113,0.000147,7228.896,44.069491,0.193569,0.33678,120.362,0
17.0575,-47.103333,0.024494,0.000333,7343.116,99.830889,0.214585,0.373344,231.938,0
17.01655,-47.121449,0.023289,0.00015,6981.867,44.968869,0.221946,0.386151,-120.948,0
17.154,-47.081,0.023726,0.000333,7112.876,99.830889,0.232142,0.40389,7.028,0
17.047479,-47.135712,0.023913,0.00012,7168.937,35.975095,0.242018,0.421072,61.792,0
16.941099,-47.162736,0.022731,0.000297,6814.582,89.03836,0.254881,0.443452,-284.359,0
16.904644,-47.179387,0.023349,0.000297,6999.854,89.03836,0.271803,0.472894,-103.377,0
17.187125,-46.686944,0.024207,0.00015,7257.076,44.968869,0.283492,0.493232,147.89,0
16.779167,-46.540833,0.022319,0.000333,6691.068,99.830889,0.380899,0.662704,-405.013,0
17.480773,-46.991763,0.023349,0.00015,6999.854,44.968869,0.387228,0.673715,-103.377,0
16.183642,-46.936172,0.022345,0.00015,6698.862,44.968869,0.508876,0.885364,-397.399,0
17.670259,-46.673366,0.02391,0.00015,7168.038,44.968869,0.559142,0.972819,60.913,0
17.603083,-46.571333,0.022345,3.3e-05,6698.862,9.893151,0.571367,0.994089,-397.399,0
17.155723,-46.283509,0.023173,0.000333,6947.091,99.830889,0.643708,1.11995,-154.918,0
16.302848,-46.368237,0.022882,0.000334,6859.851,99.99,0.68805,1.197097,-240.138,0
17.12125,-46.2175,0.02447,0.000333,7335.921,99.830889,0.703116,1.22331,224.91,0
15.881936,-47.024177,0.022529,0.00015,6754.024,44.968869,0.723597,1.258944,-343.515,0
15.876694,-47.125682,0.022998,0.000213,6894.627,63.855794,0.750069,1.305001,-206.167,0
17.463906,-46.237164,0.022816,2.7e-05,6840.065,8.094396,0.764468,1.330054,-259.466,0
17.79065,-47.460342,0.02392,0.00015,7171.036,44.968869,0.808006,1.405802,63.842,0
17.249655,-46.087786,0.023636,0.00015,7085.895,44.968869,0.849278,1.477609,-19.328,0
16.017552,-46.226231,0.022499,3.3e-05,6745.031,9.893151,0.9226,1.605178,-352.3,0
17.415305,-45.991877,0.023726,0.00015,7112.876,44.968869,0.974909,1.696188,7.028,0
17.34,-45.916,0.023892,0.000333,7162.641,99.830889,1.031302,1.794302,55.642,0
17.48135,-45.931155,0.02425,4.4e-05,7269.967,13.190868,1.047622,1.822697,160.483,0
17.678829,-47.867686,0.022593,0.000297,6773.211,89.03836,1.088345,1.893548,-324.772,0
17.216061,-45.832584,0.02404,0.000123,7207.011,36.874472,1.093378,1.902305,98.984,0
17.158333,-45.723611,0.024127,0.000333,7233.093,99.830889,1.19488,2.078903,124.462,0
16.372159,-48.132942,0.022854,0.000213,6851.457,63.855794,1.282298,2.230996,-248.338,0
17.417007,-45.652293,0.023663,2.3e-05,7093.989,6.895227,1.299524,2.260966,-11.421,0
14.932721,-47.380679,0.022539,0.00015,6757.022,44.968869,1.442333,2.509431,-340.586,0
16.129903,-45.545668,0.024477,0.00015,7338.02,44.968869,1.467257,2.552795,226.96,0
18.562716,-45.806909,0.024514,0.00015,7349.112,44.968869,1.568643,2.72919,237.795,0
17.22877,-45.304742,0.023516,9.7e-05,7049.919,29.079868,1.616454,2.812374,-54.47,0
14.51325,-46.61725,0.023103,0.000133,6926.105,39.872397,1.674698,2.91371,-175.418,0
